accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2159.5384615384614,-12158,4058,3141.2747252747254,-880,15302,-290.13186813186815,-12896,5806,7977.846153846154,5207.823658787227,28.428571428571427,-4134,5052,-77.21978021978022,-4836,3331,10.461538461538462,-2417,2921,4267.34065934066,2803.435804430224,285,Jogging,0,91
-2914.98,-9298,2578,3528.76,-640,14422,-240.52,-4978,7710,8469.14,5494.128715036041,-234.39,-4715,5205,48.83,-4580,3894,279.71,-1936,2949,4035.87,2643.7685774268875,286,Jogging,0,100
-3021.230769230769,-10614,1768,3709.230769230769,-528,12424,-162.83076923076922,-4026,2990,7996.738461538462,5220.0464821385285,92.61538461538461,-3328,3440,1735.2153846153847,-1303,4075,-1083.6,-2135,467,4299.246153846154,2773.0588604652253,287,Jogging,0,65
-2284.6,-11222,2606,3358.88,-1142,14352,-170.54,-21012,8008,8464.18,5574.978395193283,-230.25,-5721,5619,90.07,-4910,3266,29.78,-2421,3487,4380.54,2929.476168581617,288,Jogging,0,100
-2648.06,-10200,3104,3212.46,-540,15792,-622.9,-24724,7684,8352.62,5408.464778161578,-147.62,-5808,5273,-75.89,-6090,3807,125.43,-2581,3609,4265.36,2756.0154785695595,289,Jogging,0,100
-2750.48,-12268,4998,3798.02,-926,14464,-269.78,-24706,9376,9491.12,6188.524486243603,16.87,-3514,5753,175.59,-5637,3647,-311.02,-2519,4012,4427.16,2915.201057976322,290,Jogging,0,100
-2905.04,-12476,3622,3767.0,-764,16940,-276.86,-32768,8690,9840.66,6391.103863214576,-26.37,-4789,6425,-335.65,-6227,3023,374.85,-2702,4204,4560.650000000001,2992.862123224265,291,Jogging,0,100
-3600.4,-11412,1356,4433.7,-836,17076,-389.75,-6140,4716,10092.150000000001,6513.551001917729,434.2375,-4169,4002,369.425,-6750,3352,-355.025,-2813,4089,4276.087500000001,2748.1431075600585,292,Jogging,0,80
-2108.58,-11158,3970,3089.06,-1208,14358,-411.74,-8110,5944,7927.7,5156.204693101106,4.12,-3632,5713,-103.21,-5735,3605,-37.93,-2637,3802,4311.56,2844.4005781026394,293,Jogging,0,100
-3014.0,-12408,3534,3676.84,-1272,14498,-112.98,-8524,5882,9495.460000000001,6066.246123481205,-213.56,-4270,5151,-228.46,-6898,4128,329.65,-2748,3855,4655.39,3015.375002106319,294,Jogging,0,100
-2830.62,-11952,3452,3887.3,-804,17144,-320.76,-9254,5918,9151.92,5979.301846748352,267.62,-4648,4769,418.78,-7378,3151,-365.95,-2969,3789,4590.63,2977.0324644464313,295,Jogging,0,100
-2365.66,-11184,4330,3576.7,-1554,16264,-97.58,-16010,7166,9060.98,5900.508689201199,-0.54,-4269,6084,-271.79,-5062,4298,206.32,-2536,4415,4454.150000000001,2915.3337856093563,296,Jogging,0,100
-2635.86,-11050,2598,3062.3,-786,16340,-621.6,-26854,9000,8048.8,5240.99005550988,-14.79,-3889,5040,62.32,-5358,3004,132.71,-2308,3941,4011.0,2621.1180764526916,297,Jogging,0,100
-2538.84,-11188,3388,3665.08,-598,13718,-363.98,-13468,7310,8380.82,5532.024508077498,-24.07,-4158,5121,117.79,-4957,3165,-266.98,-2214,3558,4195.74,2735.064390559843,298,Jogging,0,100
